stock_code,company,report_type,pdf_path,pages,pdf_size_bytes,md_path,md_size_bytes,chars,lines,nonempty_lines,headings,image_refs,table_markers,first_nonempty_line,status
601360,三六零,ESG报告,data/raw_pdfs/601360_三六零_2025_ESG报告.pdf,52,16013491,data/mineru_outputs/hybrid_high_all/601360_三六零_2025_ESG报告/hybrid_auto/601360_三六零_2025_ESG报告.md,228864,121851,3795,2587,267,199,42,![](images/1122d8e440ee2b6ac6bb4c59abe52ebce2f01727781caa3447525aa1ddb3993e.jpg),ok
601555,东吴证券,可持续发展报告,data/raw_pdfs/601555_东吴证券_2025_可持续发展报告.pdf,64,5251631,data/mineru_outputs/hybrid_high_all/601555_东吴证券_2025_可持续发展报告/hybrid_auto/601555_东吴证券_2025_可持续发展报告.md,287525,135802,3088,1892,357,141,67,![](images/e7ff989878ebd1abeda736fa01f0cd3b0dd9cc019d8faeaffa9e5ecbd44f448a.jpg),ok
601577,长沙银行,可持续发展报告,data/raw_pdfs/601577_长沙银行_2025_可持续发展报告.pdf,59,32013032,data/mineru_outputs/hybrid_high_all/601577_长沙银行_2025_可持续发展报告/hybrid_auto/601577_长沙银行_2025_可持续发展报告.md,233490,113850,3499,1992,422,178,49,## 2025,ok
601956,东贝集团,ESG报告,data/raw_pdfs/601956_东贝集团_2025_ESG报告.pdf,68,33376517,data/mineru_outputs/hybrid_high_all/601956_东贝集团_2025_ESG报告/hybrid_auto/601956_东贝集团_2025_ESG报告.md,245860,129712,4387,2840,377,242,58,![](images/191be8af070fdc0cd7911a31aec8b93f6adb26bc3b67a729392df4f5e43122c5.jpg),ok
601975,招商南油,ESG报告,data/raw_pdfs/601975_招商南油_2025_ESG报告.pdf,57,30095258,data/mineru_outputs/hybrid_high_all/601975_招商南油_2025_ESG报告/hybrid_auto/601975_招商南油_2025_ESG报告.md,244726,132188,3460,2079,333,273,63,![](images/59a3c169e59e8be82f51bf8d7ea7ce0ba7cdf899dbaa1b670f176cbd05f7f068.jpg),ok
603013,亚普股份,ESG报告,data/raw_pdfs/603013_亚普股份_2025_ESG报告.pdf,59,6512784,data/mineru_outputs/hybrid_high_all/603013_亚普股份_2025_ESG报告/hybrid_auto/603013_亚普股份_2025_ESG报告.md,233832,122904,4043,2475,383,277,34,## 2025 年度,ok
603051,鹿山新材,ESG报告,data/raw_pdfs/603051_鹿山新材_2025_ESG报告.pdf,77,14942946,data/mineru_outputs/hybrid_high_all/603051_鹿山新材_2025_ESG报告/hybrid_auto/603051_鹿山新材_2025_ESG报告.md,146624,66976,1649,1034,126,56,22,## 鹿山新材,ok
603082,北自科技,ESG报告,data/raw_pdfs/603082_北自科技_2025_ESG报告.pdf,74,14242462,data/mineru_outputs/hybrid_high_all/603082_北自科技_2025_ESG报告/hybrid_auto/603082_北自科技_2025_ESG报告.md,270711,140274,4517,2805,357,269,76,## 年度,ok
603128,华贸物流,ESG报告,data/raw_pdfs/603128_华贸物流_2025_ESG报告.pdf,35,1675621,data/mineru_outputs/hybrid_high_all/603128_华贸物流_2025_ESG报告/hybrid_auto/603128_华贸物流_2025_ESG报告.md,82387,30404,568,288,85,14,5,# 港中旅华贸国际物流股份有限公司2025 年环境、社会及治理（ESG）报告,ok
603257,中国瑞林,ESG报告,data/raw_pdfs/603257_中国瑞林_2025_ESG报告.pdf,53,32413030,data/mineru_outputs/hybrid_high_all/603257_中国瑞林_2025_ESG报告/hybrid_auto/603257_中国瑞林_2025_ESG报告.md,226283,103931,3048,1846,303,143,18,![](images/76264c2e8ab336d670a56961b1fddd5720f411e0deea83f614285ace820d38f9.jpg),ok
603260,合盛硅业,可持续发展报告,data/raw_pdfs/603260_合盛硅业_2025_可持续发展报告.pdf,74,16741598,data/mineru_outputs/hybrid_high_all/603260_合盛硅业_2025_可持续发展报告/hybrid_auto/603260_合盛硅业_2025_可持续发展报告.md,169068,92076,2608,1543,295,252,39,## 可持续发展报告,ok
603272,ST联翔,ESG暨社会责任报告,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf,36,6726830,data/mineru_outputs/hybrid_high_all/603272_ST联翔_2025_ESG暨社会责任报告/hybrid_auto/603272_ST联翔_2025_ESG暨社会责任报告.md,134942,66773,1707,1015,213,72,44,## 匠心 致生活,ok
603291,联合水务,ESG报告,data/raw_pdfs/603291_联合水务_2025_ESG报告.pdf,82,29133585,data/mineru_outputs/hybrid_high_all/603291_联合水务_2025_ESG报告/hybrid_auto/603291_联合水务_2025_ESG报告.md,231910,117107,4079,2418,357,206,32,## 2025,ok
603329,上海雅仕,ESG报告,data/raw_pdfs/603329_上海雅仕_2025_ESG报告.pdf,29,3531737,data/mineru_outputs/hybrid_high_all/603329_上海雅仕_2025_ESG报告/hybrid_auto/603329_上海雅仕_2025_ESG报告.md,108827,52600,1268,738,150,40,34,## 2025,ok
603333,尚纬股份,ESG报告,data/raw_pdfs/603333_尚纬股份_2025_ESG报告.pdf,68,13645990,data/mineru_outputs/hybrid_high_all/603333_尚纬股份_2025_ESG报告/hybrid_auto/603333_尚纬股份_2025_ESG报告.md,171789,88186,2808,1788,203,153,55,## 2025 年度,ok
603368,柳药集团,ESG报告,data/raw_pdfs/603368_柳药集团_2025_ESG报告.pdf,73,15157294,data/mineru_outputs/hybrid_high_all/603368_柳药集团_2025_ESG报告/hybrid_auto/603368_柳药集团_2025_ESG报告.md,203787,101465,3904,2434,383,248,21,![](images/e301f694805c60387a8d64d9fb69d70c51fc5ac10755e035755d25397d9a7ecf.jpg),ok
603369,今世缘,可持续发展报告,data/raw_pdfs/603369_今世缘_2025_可持续发展报告.pdf,108,27067584,data/mineru_outputs/hybrid_high_all/603369_今世缘_2025_可持续发展报告/hybrid_auto/603369_今世缘_2025_可持续发展报告.md,320522,154562,4218,2435,502,143,52,## 2025,ok
603373,安邦护卫,ESG暨社会责任报告,data/raw_pdfs/603373_安邦护卫_2025_ESG暨社会责任报告.pdf,37,6502076,data/mineru_outputs/hybrid_high_all/603373_安邦护卫_2025_ESG暨社会责任报告/hybrid_auto/603373_安邦护卫_2025_ESG暨社会责任报告.md,139818,70988,1951,1170,152,133,32,##,ok
603399,永杉锂业,可持续发展报告,data/raw_pdfs/603399_永杉锂业_2025_可持续发展报告.pdf,62,14762725,data/mineru_outputs/hybrid_high_all/603399_永杉锂业_2025_可持续发展报告/hybrid_auto/603399_永杉锂业_2025_可持续发展报告.md,152793,83354,2123,1336,171,122,42,## 2025,ok
603577,汇金通,ESG报告,data/raw_pdfs/603577_汇金通_2025_ESG报告.pdf,50,24677281,data/mineru_outputs/hybrid_high_all/603577_汇金通_2025_ESG报告/hybrid_auto/603577_汇金通_2025_ESG报告.md,147382,78143,2438,1641,179,142,24,![](images/2488d1d95b40ec16792ffdc7fb76c29a5d1a64c7ed02b201c04c3ce0a31bd2a1.jpg),ok
603628,清源股份,ESG报告,data/raw_pdfs/603628_清源股份_2025_ESG报告.pdf,47,23889317,data/mineru_outputs/hybrid_high_all/603628_清源股份_2025_ESG报告/hybrid_auto/603628_清源股份_2025_ESG报告.md,209721,103207,2817,1723,255,158,28,## 清源股份,ok
603660,苏州科达,ESG报告,data/raw_pdfs/603660_苏州科达_2025_ESG报告.pdf,84,23143121,data/mineru_outputs/hybrid_high_all/603660_苏州科达_2025_ESG报告/hybrid_auto/603660_苏州科达_2025_ESG报告.md,181455,89797,2404,1653,164,87,56,## 苏州科达 2025 年度,ok
603683,晶华新材,ESG报告,data/raw_pdfs/603683_晶华新材_2025_ESG报告.pdf,44,22589674,data/mineru_outputs/hybrid_high_all/603683_晶华新材_2025_ESG报告/hybrid_auto/603683_晶华新材_2025_ESG报告.md,170488,88225,3196,1938,337,145,35,## 2025,ok
603717,天域生物,ESG报告,data/raw_pdfs/603717_天域生物_2025_ESG报告.pdf,28,5467481,data/mineru_outputs/hybrid_high_all/603717_天域生物_2025_ESG报告/hybrid_auto/603717_天域生物_2025_ESG报告.md,67830,34896,1137,624,152,95,11,天域生物科技股份有限公司,ok
603777,来伊份,ESG报告,data/raw_pdfs/603777_来伊份_2025_ESG报告.pdf,45,3390097,data/mineru_outputs/hybrid_high_all/603777_来伊份_2025_ESG报告/hybrid_auto/603777_来伊份_2025_ESG报告.md,77824,31424,832,516,74,35,3,2025,ok
603808,歌力思,ESG报告,data/raw_pdfs/603808_歌力思_2025_ESG报告.pdf,59,8842466,data/mineru_outputs/hybrid_high_all/603808_歌力思_2025_ESG报告/hybrid_auto/603808_歌力思_2025_ESG报告.md,187055,92090,1938,1176,154,64,42,# 深圳歌力思服饰股份有限公司,ok
603868,飞科电器,ESG报告,data/raw_pdfs/603868_飞科电器_2025_ESG报告.pdf,74,8402038,data/mineru_outputs/hybrid_high_all/603868_飞科电器_2025_ESG报告/hybrid_auto/603868_飞科电器_2025_ESG报告.md,152857,79335,2868,1721,246,133,49,## 2025年度 环境、社会和治理 (ESG)报告,ok
603918,金桥信息,ESG报告,data/raw_pdfs/603918_金桥信息_2025_ESG报告.pdf,40,16088455,data/mineru_outputs/hybrid_high_all/603918_金桥信息_2025_ESG报告/hybrid_auto/603918_金桥信息_2025_ESG报告.md,170226,80736,3036,1962,244,128,25,# 2025,ok
603979,金诚信,ESG报告,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf,85,18484780,data/mineru_outputs/hybrid_high_all/603979_金诚信_2025_ESG报告/hybrid_auto/603979_金诚信_2025_ESG报告.md,334206,165728,4305,2826,303,217,51,## 金诚信矿业管理股份有限公司,ok
